meta_url,name,num,lat,lon,junk
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLO,BEN LOMOND (CDF),2630,37.132,122.17 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLP,BLIND POINT,0,38.028,121.722 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLR,SOUTH BELRIDGE,333,99.999,999.999 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLS,BLACK SPRINGS,6500,38.375,120.192 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLT,BEN BOLT,1138,38.586,121.017 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLU,BLUE LAKE RANCH,6800,41.15,120.25 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLY,BLYTHE,390,33.617,114.717 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BM2,"BALD MOUNTAIN #2,2865,37.58,121.35 
BMD'",http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BMD,BEARD MEADOW,9800,37.113
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BMN,BLACKS MOUNTAIN,6700,40.762,121.195 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BMO,BRANCH MOUNTAIN,3770,35.189,120.083 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BMP,BON TEMPE,723,37.957,122.61 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BMS,BIG MEADOWS,7600,36.715,118.842 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BMT,BALD MOUNTAIN (USFS),4680,38.9,120.683 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BMW,BIG MEADOWS (SCS),8700,39.458,119.946 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNA,BARONA,1280,32.999,116.84 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BND,SACRAMENTO RIVER AT BEND BRIDGE,286,40.289,122.186 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNE,BRIONES,1450,37.934,122.118 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNF,NORTH FORK BATTLE CREEK,998,40.424,121.986 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNG,BANGOR CANAL,815,39.504,121.454 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNH,BENCH LAKE,10600,36.958,118.445 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNK,BONANZA KING,6450,41.083,122.628 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNL,BOONVILLE HMS,342,39.015,123.372 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNM,BONITA MEADOWS,8300,36.038,118.328 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNP,BOND PASS,9300,38.178,119.623 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNR,BUNNING RANCH,1520,37.37,119.889 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNS,BURNEY SPRINGS,4700,40.78,121.617 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BNV,BOONVILLE,840,38.987,123.341 ,
